korean,category_guess,source_sentence,is_registered,matched_glossary_term,note
교육자료가정,기타,양성평등 교육 자료를 가정에서 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료 가정,기타,양성평등 교육 자료를 가정에서 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료 가정 함께,기타,양성평등 교육 자료를 가정에서 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료가정,기타,양성평등 교육 자료를 가정에서 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료가정함께,기타,양성평등 교육 자료를 가정에서 함께 확인해 주세요,N,,preferred_vi 입력 필요
급식모니터링,제출,급식 모니터링을 원하면 신청서를 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
모니터링 원하면 신청서,제출,급식 모니터링을 원하면 신청서를 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
모니터링원하면신청서,제출,급식 모니터링을 원하면 신청서를 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
원하면,제출,급식 모니터링을 원하면 신청서를 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
원하면 신청서,제출,급식 모니터링을 원하면 신청서를 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
원하면신청서,제출,급식 모니터링을 원하면 신청서를 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
신청서 제출해,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
신청서제출해,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
원하 학부모님 신청서,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
원하학부모님신청서,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
학부모님 신청서,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
학부모님 신청서 제출해,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
학부모님신청서,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
학부모님신청서제출해,제출,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,N,신청서; 급식; 제출,preferred_vi 입력 필요
텀블러,기타,개인 텀블러 사용을 권장합니다,N,,preferred_vi 입력 필요
환경보호,기타,개인 텀블러 사용을 권장합니다,N,,preferred_vi 입력 필요
귀가시간,기타,귀가 시간이 바뀌면 키즈노트로 알려 주세요,N,키즈노트,preferred_vi 입력 필요
키즈노트,기타,귀가 시간이 바뀌면 키즈노트로 알려 주세요,Y,키즈노트,기존 사전 용어
상담 시간,일정,상담 시간을 키즈노트 설문에서 골라 주세요,N,키즈노트; 상담,preferred_vi 입력 필요
상담 시간 키즈노트,일정,상담 시간을 키즈노트 설문에서 골라 주세요,N,키즈노트; 상담,preferred_vi 입력 필요
상담시간,일정,상담 시간을 키즈노트 설문에서 골라 주세요,N,키즈노트; 상담,preferred_vi 입력 필요
상담시간키즈노트,일정,상담 시간을 키즈노트 설문에서 골라 주세요,N,키즈노트; 상담,preferred_vi 입력 필요
희망시간,일정,상담 시간을 키즈노트 설문에서 골라 주세요,N,키즈노트; 상담,preferred_vi 입력 필요
상담 희망,일정,학부모 상담 희망 시간을 키즈노트 설문으로 선택해 주세요,N,학부모 상담; 키즈노트; 상담,preferred_vi 입력 필요
상담 희망 시간,일정,학부모 상담 희망 시간을 키즈노트 설문으로 선택해 주세요,N,학부모 상담; 키즈노트; 상담,preferred_vi 입력 필요
상담희망,일정,학부모 상담 희망 시간을 키즈노트 설문으로 선택해 주세요,N,학부모 상담; 키즈노트; 상담,preferred_vi 입력 필요
상담희망시간,일정,학부모 상담 희망 시간을 키즈노트 설문으로 선택해 주세요,N,학부모 상담; 키즈노트; 상담,preferred_vi 입력 필요
안전벨트,건강·안전,버스를 탈 때 안전벨트를 꼭 합니다,N,,preferred_vi 입력 필요
수요일,일정,이번 주 수요일까지 스포츠클럽을 신청해 주세요,N,,preferred_vi 입력 필요
스포츠클럽,일정,이번 주 수요일까지 스포츠클럽을 신청해 주세요,N,,preferred_vi 입력 필요
신청해,일정,이번 주 수요일까지 스포츠클럽을 신청해 주세요,N,,preferred_vi 입력 필요
참가신청,일정,이번 주 수요일까지 스포츠클럽을 신청해 주세요,N,,preferred_vi 입력 필요
급식없음,일정,종업식 날에는 급식 없이 4교시 후 집에 갑니다,N,종업식; 급식,preferred_vi 입력 필요
종업식,일정,종업식 날에는 급식 없이 4교시 후 집에 갑니다,Y,종업식; 급식,기존 사전 용어
하교,일정,종업식 당일에는 급식 없이 4교시 후 하교합니다,Y,종업식; 급식; 하교,기존 사전 용어
27일,일정,9월 27일 유치원 강당에서 운동회를 합니다,N,운동회,preferred_vi 입력 필요
강당,일정,9월 27일 유치원 강당에서 운동회를 합니다,N,운동회,preferred_vi 입력 필요
유치원,일정,9월 27일 유치원 강당에서 운동회를 합니다,N,운동회,preferred_vi 입력 필요
등교시간,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,N,체험학습,preferred_vi 입력 필요
체험학습 8시,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,N,체험학습,preferred_vi 입력 필요
체험학습 8시 40분,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,N,체험학습,preferred_vi 입력 필요
체험학습8시,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,N,체험학습,preferred_vi 입력 필요
체험학습8시40분,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,N,체험학습,preferred_vi 입력 필요
등교,일정,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,Y,체험학습; 등교,기존 사전 용어
체험학습 당일,일정,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,N,체험학습; 등교,preferred_vi 입력 필요
체험학습 당일 8시,일정,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,N,체험학습; 등교,preferred_vi 입력 필요
체험학습당일,일정,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,N,체험학습; 등교,preferred_vi 입력 필요
체험학습당일8시,일정,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,N,체험학습; 등교,preferred_vi 입력 필요
교통안전,건강·안전,횡단보도에서 좌우를 보고 건너도록 알려 주세요,Y,,기존 사전 용어
횡단보,기타,횡단보도에서 좌우를 보고 건너도록 알려 주세요,N,,preferred_vi 입력 필요
보험,제출,보험 가입에 필요한 정보를 제출해 주세요,N,제출,preferred_vi 입력 필요
뒷자리 비공개,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
뒷자리 비공개 제출해,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
뒷자리비공개,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
뒷자리비공개제출해,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
번호,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,Y,체험학습; 번호; 제출,기존 사전 용어
비공개,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
비공개 제출해,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
비공개제출해,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
주민등록번호 뒷자리 비공개,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
주민등록번호뒷자리비공개,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
체험학습 보험,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
체험학습 보험 가입,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
체험학습보험,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
체험학습보험가입,일정,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,N,체험학습; 번호; 제출,preferred_vi 입력 필요
급식알레르기,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
대체식,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
대체식 원하면 신청서,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
대체식원하면신청서,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
신청서 보건실,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
신청서보건실,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
원하면 신청서 보건실,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
원하면신청서보건실,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,N,신청서; 급식,preferred_vi 입력 필요
대체식 신청서,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
대체식 신청서 보건실,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
